1.Go;200;0;0;0;0;0;0;0;0
2.Avenida Mediterranea;60;2;10;30;90;160;250;30;50;50
3.Arca Comunal;0;0;0;0;0;0;0;0;0;0
4.Avenida Baltica;60;4;20;60;180;320;450;30;50;50
5.Impuesto Sobre Ingresos;10;200;0;0;0;0;0;0;0;0
6.Ferrocarril Reading;200;25;50;100;200;100;0;0;0;0
7.Avenida Oriental;100;6;30;90;270;400;550;50;50;50
8.Casualidades;0;0;0;0;0;0;0;0;0;0
9.Avenida Vermont;100;6;30;90;270;400;550;50;50;50
10.Avenida Connecticut;120;8;40;100;300;450;600;60;50;50
11.Carcel;1;2;0;0;0;0;0;0;0;0
12.Plaza San Carlos;140;10;50;150;450;625;750;70;100;100
13.Compañía Electrica;4;10;75;0;0;0;0;0;0;0
14.Avenida de los Estados;140;10;50;150;450;625;750;70;100;100
15.Avenida Virginia;160;12;60;180;500;700;900;80;100;100
16.Ferrocarril Pennsylvania;200;25;50;100;200;100;0;0;0;0
17.Plaza Saint James;180;14;70;200;550;750;950;90;100;100
18.Arca Comunal;0;0;0;0;0;0;0;0;0;0
19.Avenida Tennessee;180;14;70;200;550;750;950;90;100;100
20.Avenida Nueva York;200;16;80;220;600;800;1000;100;100;100
21.Carro;0;0;0;0;0;0;0;0;0;0
22.Avenida Kentucky;220;18;90;250;700;875;1050;110;150;150
23.Casualidades;0;0;0;0;0;0;0;0;0;0
24.Avenida Indiana;220;18;90;250;700;875;1050;110;150;150
25.Avenida Illinois;240;20;100;300;750;925;1100;120;150;150
26.Ferrocarril B. & O.;200;25;50;100;200;100;0;0;0;0
27.Avenida Atlantic;260;22;110;330;800;975;1150;130;150;150
28.Avenida Ventnor;260;22;110;330;800;975;1150;130;150;150
29.Obras de agua Potable4;10;75;0;0;0;0;0;0;0
30.Jardines Marvin;280;24;12;360;850;1025;1200;140;150;150
31.¡Vayase a la carcel!;0;0;0;0;0;0;0;0;0;0
32.Avenida Pacifico;300;26;130;390;900;1100;1275;150;200;200
33.Avenida Carolina del Norte;300;26;130;390;900;1100;1275;150;200;200
34.Arca Comunal;0;0;0;0;0;0;0;0;0;0
35.Avenida Pennsylvania;320;150;450;100;1200;1400;160;200;200
36.Ferrocarril Short Line;200;25;50;100;200;100;0;0;0;0
37.Casualidades;0;0;0;0;0;0;0;0;0;0
38.Plaza del Parque;350;35;175;500;1100;1300;1500;175;200;200
39.Impuesto Sobre Posesiones de Lujo;75;0;0;0;0;0;0;0;0;0
40.Paseo Tablado;400;50;200;600;1400;1700;2000;200;200;200
